transition_s,transition_token,optimizer,loss,peaq_mean,peaq_std,si_sdr_mean,si_sdr_std,mr_stft_error_mean,mr_stft_error_std,mel_spectral_distance_mean,mel_spectral_distance_std,spectral_centroid_delta_mean,spectral_centroid_delta_std,rmse_mean,rmse_std,lufs_difference_mean,lufs_difference_std,crest_factor_difference_mean,crest_factor_difference_std
1,1p0,Adam,FD-MSE,,,,,,,,,,,,,,,,
1,1p0,GHAM_1,FD-MSE,,,,,,,,,,,,,,,,
1,1p0,GHAM_3,FD-MSE,,,,,,,,,,,,,,,,
1,1p0,Newton,FD-MSE,,,,,,,,,,,,,,,,
1,1p0,No EQ,FD-MSE,,,,,,,,,,,,,,,,
1,1p0,SGD,FD-MSE,,,,,,,,,,,,,,,,
15,15p0,Adam,FD-MSE,,,,,,,,,,,,,,,,
15,15p0,GHAM_1,FD-MSE,,,,,,,,,,,,,,,,
15,15p0,GHAM_3,FD-MSE,,,,,,,,,,,,,,,,
15,15p0,Newton,FD-MSE,,,,,,,,,,,,,,,,
15,15p0,No EQ,FD-MSE,,,,,,,,,,,,,,,,
15,15p0,SGD,FD-MSE,,,,,,,,,,,,,,,,
30,30p0,Adam,FD-MSE,,,,,,,,,,,,,,,,
30,30p0,GHAM_1,FD-MSE,,,,,,,,,,,,,,,,
30,30p0,GHAM_3,FD-MSE,,,,,,,,,,,,,,,,
30,30p0,Newton,FD-MSE,,,,,,,,,,,,,,,,
30,30p0,No EQ,FD-MSE,,,,,,,,,,,,,,,,
30,30p0,SGD,FD-MSE,,,,,,,,,,,,,,,,
