transition_s,transition_token,optimizer,loss,peaq_mean,peaq_std,si_sdr_mean,si_sdr_std,mr_stft_error_mean,mr_stft_error_std,mel_spectral_distance_mean,mel_spectral_distance_std,spectral_centroid_delta_mean,spectral_centroid_delta_std,rmse_mean,rmse_std,lufs_difference_mean,lufs_difference_std,crest_factor_difference_mean,crest_factor_difference_std
1,1p0,Adam,TD-MSE,-1.905376792,0.007039044052,-28.04003334,6.640166759,5.014811516,1.305851936,9.388349533,3.863456726,710.8476562,252.4860992,0.1325976253,0.03033674508,8.094140053,2.861430883,0,0
1,1p0,GHAM_1,TD-MSE,-1.904003263,0.004696072079,-26.21765709,7.595286846,2.036412716,0.1668710709,8.40285778,0.4636927247,732.7956543,227.1574402,0.1812504977,0.04215496406,0.9958270192,0.9920427203,0,0
1,1p0,GHAM_3,TD-MSE,-1.904790282,0.00726419827,-25.32562256,7.023255825,1.98580122,0.1930228919,8.285975456,0.4919736981,616.2804565,167.6923981,0.1750996709,0.03687752783,1.408416271,1.123859882,0,0
1,1p0,Newton,TD-MSE,-1.90555954,0.005920281634,-28.55328178,6.242043495,8.660959244,10.48172092,8.881771088,1.674082994,707.4360962,271.306488,0.1336959749,0.02245748416,12.45402813,7.980727196,0,0
1,1p0,No EQ,TD-MSE,-1.903635502,0.002656892408,-25.5238266,8.972801208,1.24509263,0.1048331261,4.731230736,0.4645681977,260.1146851,84.46648407,0.1793607622,0.03949776292,0.6778354645,0.5625050068,0,0
1,1p0,SGD,TD-MSE,-1.903312683,0.002504323842,-23.78241539,5.626693726,2.186345816,0.5308719873,8.142161369,0.4748325646,374.4789734,134.5531921,0.1553664953,0.03100376017,3.492142439,2.438353062,0,0
15,15p0,Adam,TD-MSE,-1.905211806,0.006502495147,-27.01652336,7.68919754,5.27656889,1.933400989,9.701430321,3.54751873,778.9111328,312.5726318,0.1341368109,0.02739392594,8.172176361,4.236480236,0,0
15,15p0,GHAM_1,TD-MSE,-1.903674722,0.004392530303,-27.76361275,8.730195999,2.05149579,0.1678624153,8.306019783,0.5149797797,735.5751953,237.1541595,0.1786478907,0.04231559113,0.9631075859,1.016752601,0,0
15,15p0,GHAM_3,TD-MSE,-1.90458107,0.006618938409,-27.25010681,8.249504089,1.985250473,0.1821084619,8.191409111,0.5404108167,629.7559814,175.7412262,0.1744513959,0.03835226595,1.303281188,1.133285165,0,0
15,15p0,Newton,TD-MSE,-1.905257702,0.004554592539,-28.55953407,7.811439037,9.678603172,10.61187267,9.093744278,1.401884556,1286.585693,1644.018066,0.133774519,0.02203779481,11.78160572,8.370750427,0,0
15,15p0,No EQ,TD-MSE,-1.903635502,0.002656892408,-25.5238266,8.972801208,1.24509263,0.1048331261,4.731230736,0.4645681977,260.1146851,84.46648407,0.1793607622,0.03949776292,0.6778354645,0.5625050068,0,0
15,15p0,SGD,TD-MSE,-1.903254867,0.002623555716,-27.12347412,9.15868187,2.141088963,0.5004382133,8.042565346,0.519110918,380.6121521,135.3220062,0.1565012932,0.03210532665,3.334256411,2.271108866,0,0
30,30p0,Adam,TD-MSE,-1.903584361,0.002085014712,-29.23950386,6.52554512,4.916331291,1.993017912,9.304533958,2.452392101,685.6234741,255.282547,0.1366474777,0.03416050225,7.567305088,4.065298557,0,0
30,30p0,GHAM_1,TD-MSE,-1.903678894,0.004093678668,-29.0135746,9.652312279,2.086898565,0.178037256,8.277230263,0.572591722,742.147644,244.7923889,0.1765125394,0.04198709875,1.104225636,1.017031908,0,0
30,30p0,GHAM_3,TD-MSE,-1.904358506,0.005908700172,-30.37330437,11.1417923,1.999695778,0.1757575572,8.163610458,0.5984322429,646.9238281,185.9923706,0.1744703799,0.04028827325,1.285661101,1.108259559,0,0
30,30p0,Newton,TD-MSE,-1.905534267,0.006116499193,-29.94856071,9.376250267,12.36501217,19.36575127,8.71476841,1.700422168,755.6435547,396.0919495,0.1343663186,0.02173610032,13.82406616,9.451011658,0,0
30,30p0,No EQ,TD-MSE,-1.903635502,0.002656892408,-25.5238266,8.972801208,1.24509263,0.1048331261,4.731230736,0.4645681977,260.1146851,84.46648407,0.1793607622,0.03949776292,0.6778354645,0.5625050068,0,0
30,30p0,SGD,TD-MSE,-1.903205037,0.002442254452,-30.26195526,11.38944626,2.11435771,0.4720268846,8.004210472,0.5820887685,397.8712158,138.7424622,0.1581700295,0.0353814885,3.062225342,2.324686766,0,0
